,동,오차_part,오차_full,sum
0,군자동,-1.028130707,-1.016801727,-2.044932434
1,중곡2동,-1.056502686,,-1.056502686
2,용신동,-1.057445861,-1.09610694,-2.153552801
3,신촌동,-1.448973046,-1.256771888,-2.705744934
4,가양1동,-1.139688085,-1.059122217,-2.198810302
5,화곡1동,-1.024133095,-1.095188938,-2.119322033
6,행운동,-1.388651227,-1.268307155,-2.656958382
7,낙성대동,-1.03142904,-1.008465129,-2.039894169
8,신원동,-1.013438654,-1.061841709,-2.075280363
9,잠실본동,-1.057197262,-1.089013555,-2.146210817
10,수유3동,,-1.114767245,-1.114767245
11,화곡본동,,-1.093568881,-1.093568881
12,상도4동,,-1.033363769,-1.033363769
13,방이2동,,-1.021399313,-1.021399313